"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url
956057347402;;;;;"Profil CLASSIX X140 - surowy";;;https://static.tildacdn.com/stor6364-3837-4266-b039-343666393236/62434585.png;3.90;90;;Kolor:surowy;;V3cnnvOSiRXwOxWDjbAgp3;979499294302;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/bezszczelinowe/classix-x140?editionuid=956057347402
270251792782;Alumineu;;;"profile harpunowe>>>konturowe";"Profil CONTURA X601";"Profil alumineu CONTURA X601 ścienny konturowy do sufitów napinanych z harpunowym systemem mocowania płótna.";;https://static.tildacdn.com/stor3036-3130-4830-b964-653335323630/31124283.png;;;;;;contura_x601;;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/konturowe/contura-x601
363135129882;;;;;"Profil CONTURA X601 - surowy";;;https://static.tildacdn.com/stor3036-3130-4830-b964-653335323630/31124283.png;8.00;99;;Kolor:surowy;;uOmKNKiKhPZzh4UNscvrM3;270251792782;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/konturowe/contura-x601?editionuid=363135129882
103976771442;Alumineu;;;akcesoria>>>uchwyty;"Uchwyt ANGLOVA Y401";"Uchwyt do mocowania profilu do sufitu.";;https://static.tildacdn.com/stor3465-6364-4539-b134-636664366431/71537405.png;;;;;;anglova_y401;;0;0;0;0;https://alumineu.pl/produkty/akcesoria/uchwyty/anglova-y401
278394663382;;;;;"Uchwyt ANGLOVA Y401 - surowy";;;https://static.tildacdn.com/stor3465-6364-4539-b134-636664366431/71537405.png;1.60;63;;Kolor:surowy;;5Iae0Kl7jHu3J80n7k6Nu3;103976771442;0;0;0;0;https://alumineu.pl/produkty/akcesoria/uchwyty/anglova-y401?editionuid=278394663382
377930125792;Alumineu;;;akcesoria>>>osłony;"Osłona INSERTA Y008";"Wkładka do ukrycia rowka na harpun do profili CURTINA X405, STRATOS X701, STRATOS X704.";;https://static.tildacdn.com/stor6337-6433-4464-b631-633034633262/84929504.png;;;;;;inserta_y008;;0;0;0;0;https://alumineu.pl/produkty/akcesoria/oslony/inserta-y008
544791563252;;;;;"Osłona INSERTA Y008 - mleczny";;;https://static.tildacdn.com/stor6337-6433-4464-b631-633034633262/84929504.png;2.00;98;;Kolor:mleczny;;5A33vrjxg2INi6FdYvYHV1;377930125792;0;0;0;0;https://alumineu.pl/produkty/akcesoria/oslony/inserta-y008?editionuid=544791563252
530940509082;;;;;"Osłona INSERTA Y008 - czarny";;;https://static.tildacdn.com/stor6337-6433-4464-b631-633034633262/84929504.png;2.00;98;;Kolor:czarny;;Zm1YLzGFjDyJzl5BQ2AZK2;377930125792;0;0;0;0;https://alumineu.pl/produkty/akcesoria/oslony/inserta-y008?editionuid=530940509082
366051110192;Alumineu;;;akcesoria>>>osłony;"Osłona INSERTA Y015";"Wkładka rozpraszająca światło do profili LIGHTRA X015, CURTINA X405, STRATOS X702.";;https://static.tildacdn.com/stor3431-6134-4566-b761-353931353835/32880273.png;;;;;;inserta_y015;;0;0;0;0;https://alumineu.pl/produkty/akcesoria/oslony/inserta-y015
657090068192;;;;;"Osłona INSERTA Y015 - mleczny";;;https://static.tildacdn.com/stor3431-6134-4566-b761-353931353835/32880273.png;3.20;80;;Kolor:mleczny;;jWf3YVZMj28oz3Vn9Ruwa1;366051110192;0;0;0;0;https://alumineu.pl/produkty/akcesoria/oslony/inserta-y015?editionuid=657090068192
100136262512;Alumineu;;;akcesoria>>>klosze;"Klosz DIFFUSY Y114";"Listwa rozpraszająca światło do profili LIGHTRA X015, CURTINA X405, CURTINA X405 m.";;https://static.tildacdn.com/stor6639-6537-4437-a332-643036316531/43204516.png;;;;;;diffusy_y114;;0;0;0;0;https://alumineu.pl/produkty/akcesoria/klosze/diffusy-y114
603162593602;;;;;"Klosz DIFFUSY Y114 - mleczny";;;https://static.tildacdn.com/stor6639-6537-4437-a332-643036316531/43204516.png;6.00;97;;Kolor:mleczny;;SVjKGGnNhIO8Ovbe-z0yF3;100136262512;0;0;0;0;https://alumineu.pl/produkty/akcesoria/klosze/diffusy-y114?editionuid=603162593602
155678066152;Alumineu;;;akcesoria>>>klosze;"Klosz DIFFUSY Y130 B";"Listwa rozpraszająca światło do profili LIGHTRA X030, LIGHTRA X030 s.";;https://static.tildacdn.com/stor3034-3435-4161-b533-363633316662/11644078.png;;;;;;diffusy_y130;;0;0;0;0;https://alumineu.pl/produkty/akcesoria/klosze/diffusy-y130
799634883332;;;;;"Klosz DIFFUSY Y130 B - mleczny";;;https://static.tildacdn.com/stor3034-3435-4161-b533-363633316662/11644078.png;8.00;96;;Kolor:mleczny;;5ET97eXngrRKDRbIJ4YhN2;155678066152;0;0;0;0;https://alumineu.pl/produkty/akcesoria/klosze/diffusy-y130?editionuid=799634883332
427448362392;;;;;"Klosz DIFFUSY Y130 B - czarny";;;https://static.tildacdn.com/stor3034-3435-4161-b533-363633316662/11644078.png;10.00;100;;Kolor:czarny;;yfcIPkXYi7hGeHi9sRjg51;155678066152;0;0;0;0;https://alumineu.pl/produkty/akcesoria/klosze/diffusy-y130?editionuid=427448362392
299840035862;Alumineu;;;akcesoria>>>klosze;"Klosz DIFFUSY Y150";"Listwa rozpraszająca światło do profili LIGHTRA X050.";;https://static.tildacdn.com/stor6131-3130-4334-b266-343637316665/33572474.png;;;;;;diffusy_y150;;0;0;0;0;https://alumineu.pl/produkty/akcesoria/klosze/diffusy-y150
