"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url;Tabs:1
988216812582;;;;;"Profil STRATOS X704 - negru mat";;;https://static.tildacdn.com/stor3537-3638-4161-b338-373733636161/69167924.png;31.81;;;"culoare:negru mat";;5rGDU6PghnaCaAB4hbK363;576662810612;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/dublu-nivel/stratos-x704?editionuid=988216812582;
513642533402;;;;"profile cu harpon>>>dublu nivel";"Profil STRATOS X703";"profil patentat STRATOS X703® pentru tavane extensibile cu sistem harpon de prindere a pânzei. Pentru realizarea structurilor, nișelor și ocolirea pereților complicati. cu poliță pentru bandă led.";;https://static.tildacdn.com/stor3539-3430-4436-a235-656131336235/64410682.png;;;;;;stratos_x703;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/dublu-nivel/stratos-x703;
658333943602;;;;;"Profil STRATOS X703 - nevopsit";;;https://static.tildacdn.com/stor3539-3430-4436-a235-656131336235/64410682.png;26.51;;;culoare:nevopsit;;9DTMhoqug8m-s5umlvoUH2;513642533402;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/dublu-nivel/stratos-x703?editionuid=658333943602;
511268989722;;;;"profile cu harpon>>>dublu nivel";"Profil STRATOS X702";"profil patentat STRATOS X702® pentru tavane extensibile pe două niveluri, cu sistem harpon de prindere a pânzei. cu poliță pentru bandă LED și inserție.";;https://static.tildacdn.com/stor3164-3263-4663-b034-653039393232/18530707.png;;;;;;stratos_x702;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/dublu-nivel/stratos-x702;
169849761712;;;;;"Profil STRATOS X702 - nevopsit";;;https://static.tildacdn.com/stor3164-3263-4663-b034-653039393232/18530707.png;37.11;;;culoare:nevopsit;;A8KXwZGog4GTrG3uTcqe72;511268989722;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/dublu-nivel/stratos-x702?editionuid=169849761712;
494525948182;;;;accesorii>>>alte;"Profil BANDURA X801";;;https://static.tildacdn.com/stor3732-6432-4539-b966-663461663932/17894692.png;;;;;;bandura_x801;;0;0;0;0;https://alumineu.ro/tproduct/494525948182-profil-bandura-x801;
606839674372;;;;;"Profil BANDURA X801 - nevopsit";;;https://static.tildacdn.com/stor3732-6432-4539-b966-663461663932/17894692.png;4.24;;;culoare:nevopsit;;Ld9AkcuQi0qA19EQUN-hA0;494525948182;0;0;0;0;https://alumineu.ro/tproduct/494525948182-profil-bandura-x801?editionuid=606839674372;
217942369232;;;;accesorii>>>cârlige;"Cârlige HOOKARA Y701";;;https://static.tildacdn.com/stor6264-3361-4963-a466-636130306630/93266bd2fa29130e2fcedcbed354c778.png;;;;;;hookara_y701;;0;0;0;0;https://alumineu.ro/produse/accesorii/carlige/hookara-y701;
560023745642;;;;;"Cârlige HOOKARA Y701 - alb";;;;21.20;43;;culoare:alb;;46uEut1Sg0K3ORag6S9WZ0;217942369232;0;0;0;0;https://alumineu.ro/produse/accesorii/carlige/hookara-y701?editionuid=560023745642;
607699718622;;;;;"Cârlige HOOKARA Y701 - negru";;;;10.60;0;;culoare:negru;;mCFJaYpDhGQpcRyrmU8W81;217942369232;0;0;0;0;https://alumineu.ro/produse/accesorii/carlige/hookara-y701?editionuid=607699718622;
178020715732;;;;accesorii>>>cârlige;"Opritor HOOKEND Y704";;;https://static.tildacdn.com/stor3434-3931-4937-b465-386465393335/adf983d00a26d6772357d0d938182c21.png;;;;;;hookend_y704;;0;0;0;0;https://alumineu.ro/produse/accesorii/opritoare/hookend-y704;
525005778822;;;;;"Opritor HOOKEND Y704 - alb";;;;2.65;23;;culoare:alb;;ysB7srkLhvaXhUm2B-WED1;178020715732;0;0;0;0;https://alumineu.ro/produse/accesorii/opritoare/hookend-y704?editionuid=525005778822;
424894777382;;;;;"Opritor HOOKEND Y704 - negru";;;;2.65;0;;culoare:negru;;rTvzIoD8go7VbGrUSWHeb2;178020715732;0;0;0;0;https://alumineu.ro/produse/accesorii/opritoare/hookend-y704?editionuid=424894777382;
749903659052;;;;amenajări>>>despărțitoare;"Despărțitor DECORRA";;;https://static.tildacdn.com/stor3138-3834-4638-a533-633634366632/aec74dbc672b8656795c289b9eacf319.png;;;;;;decorra;;0;0;0;0;https://alumineu.ro/tproduct/749903659052-despritor-decorra;
458412720982;;;;;"Despărțitor DECORRA - 500 mm - alb mat";;;;954.22;23;;"lungime:500 mm;culoare:alb mat";;ergHrlZUg2QIND1V8IhSJ2;749903659052;0;0;0;0;https://alumineu.ro/tproduct/749903659052-despritor-decorra?editionuid=458412720982;
944063163902;;;;;"Despărțitor DECORRA - 500 mm - negru mat";;;;954.22;23;;"lungime:500 mm;culoare:negru mat";;Uol4AUi6iIvTMzs54EO9j2;749903659052;0;0;0;0;https://alumineu.ro/tproduct/749903659052-despritor-decorra?editionuid=944063163902;
